 >TARCYL  cylindrical target: Length=  1.0000 Diameter= 64.4900
      3260 = NAT
  0.000000  1.000000  0.000000 = A_1 vector
  0.000000  0.000000  1.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000   0.00000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1  -6   0 -31 1 1 1
      2  -5   0 -31 1 1 1
      3  -4   0 -31 1 1 1
      4  -3   0 -31 1 1 1
      5  -2   0 -31 1 1 1
      6  -1   0 -31 1 1 1
      7   0   0 -31 1 1 1
      8   1   0 -31 1 1 1
      9   2   0 -31 1 1 1
     10   3   0 -31 1 1 1
     11   4   0 -31 1 1 1
     12   5   0 -31 1 1 1
     13   6   0 -31 1 1 1
     14   7   0 -31 1 1 1
     15  -9   0 -30 1 1 1
     16  -8   0 -30 1 1 1
     17  -7   0 -30 1 1 1
     18  -6   0 -30 1 1 1
     19  -5   0 -30 1 1 1
     20  -4   0 -30 1 1 1
     21  -3   0 -30 1 1 1
     22  -2   0 -30 1 1 1
     23  -1   0 -30 1 1 1
     24   0   0 -30 1 1 1
     25   1   0 -30 1 1 1
     26   2   0 -30 1 1 1
     27   3   0 -30 1 1 1
     28   4   0 -30 1 1 1
     29   5   0 -30 1 1 1
     30   6   0 -30 1 1 1
     31   7   0 -30 1 1 1
     32   8   0 -30 1 1 1
     33   9   0 -30 1 1 1
     34  10   0 -30 1 1 1
     35 -12   0 -29 1 1 1
     36 -11   0 -29 1 1 1
     37 -10   0 -29 1 1 1
     38  -9   0 -29 1 1 1
     39  -8   0 -29 1 1 1
     40  -7   0 -29 1 1 1
     41  -6   0 -29 1 1 1
     42  -5   0 -29 1 1 1
     43  -4   0 -29 1 1 1
     44  -3   0 -29 1 1 1
     45  -2   0 -29 1 1 1
     46  -1   0 -29 1 1 1
     47   0   0 -29 1 1 1
     48   1   0 -29 1 1 1
     49   2   0 -29 1 1 1
     50   3   0 -29 1 1 1
     51   4   0 -29 1 1 1
     52   5   0 -29 1 1 1
     53   6   0 -29 1 1 1
     54   7   0 -29 1 1 1
     55   8   0 -29 1 1 1
     56   9   0 -29 1 1 1
     57  10   0 -29 1 1 1
     58  11   0 -29 1 1 1
     59  12   0 -29 1 1 1
     60  13   0 -29 1 1 1
     61 -14   0 -28 1 1 1
     62 -13   0 -28 1 1 1
     63 -12   0 -28 1 1 1
     64 -11   0 -28 1 1 1
     65 -10   0 -28 1 1 1
     66  -9   0 -28 1 1 1
     67  -8   0 -28 1 1 1
     68  -7   0 -28 1 1 1
     69  -6   0 -28 1 1 1
     70  -5   0 -28 1 1 1
     71  -4   0 -28 1 1 1
     72  -3   0 -28 1 1 1
     73  -2   0 -28 1 1 1
     74  -1   0 -28 1 1 1
     75   0   0 -28 1 1 1
     76   1   0 -28 1 1 1
     77   2   0 -28 1 1 1
     78   3   0 -28 1 1 1
     79   4   0 -28 1 1 1
     80   5   0 -28 1 1 1
     81   6   0 -28 1 1 1
     82   7   0 -28 1 1 1
     83   8   0 -28 1 1 1
     84   9   0 -28 1 1 1
     85  10   0 -28 1 1 1
     86  11   0 -28 1 1 1
     87  12   0 -28 1 1 1
     88  13   0 -28 1 1 1
     89  14   0 -28 1 1 1
     90  15   0 -28 1 1 1
     91 -16   0 -27 1 1 1
     92 -15   0 -27 1 1 1
     93 -14   0 -27 1 1 1
     94 -13   0 -27 1 1 1
     95 -12   0 -27 1 1 1
     96 -11   0 -27 1 1 1
     97 -10   0 -27 1 1 1
     98  -9   0 -27 1 1 1
     99  -8   0 -27 1 1 1
    100  -7   0 -27 1 1 1
    101  -6   0 -27 1 1 1
    102  -5   0 -27 1 1 1
    103  -4   0 -27 1 1 1
    104  -3   0 -27 1 1 1
    105  -2   0 -27 1 1 1
    106  -1   0 -27 1 1 1
    107   0   0 -27 1 1 1
    108   1   0 -27 1 1 1
    109   2   0 -27 1 1 1
    110   3   0 -27 1 1 1
    111   4   0 -27 1 1 1
    112   5   0 -27 1 1 1
    113   6   0 -27 1 1 1
    114   7   0 -27 1 1 1
    115   8   0 -27 1 1 1
    116   9   0 -27 1 1 1
    117  10   0 -27 1 1 1
    118  11   0 -27 1 1 1
    119  12   0 -27 1 1 1
    120  13   0 -27 1 1 1
    121  14   0 -27 1 1 1
    122  15   0 -27 1 1 1
    123  16   0 -27 1 1 1
    124  17   0 -27 1 1 1
    125 -17   0 -26 1 1 1
    126 -16   0 -26 1 1 1
    127 -15   0 -26 1 1 1
    128 -14   0 -26 1 1 1
    129 -13   0 -26 1 1 1
    130 -12   0 -26 1 1 1
    131 -11   0 -26 1 1 1
    132 -10   0 -26 1 1 1
    133  -9   0 -26 1 1 1
    134  -8   0 -26 1 1 1
    135  -7   0 -26 1 1 1
    136  -6   0 -26 1 1 1
    137  -5   0 -26 1 1 1
    138  -4   0 -26 1 1 1
    139  -3   0 -26 1 1 1
    140  -2   0 -26 1 1 1
    141  -1   0 -26 1 1 1
    142   0   0 -26 1 1 1
    143   1   0 -26 1 1 1
    144   2   0 -26 1 1 1
    145   3   0 -26 1 1 1
    146   4   0 -26 1 1 1
    147   5   0 -26 1 1 1
    148   6   0 -26 1 1 1
    149   7   0 -26 1 1 1
    150   8   0 -26 1 1 1
    151   9   0 -26 1 1 1
    152  10   0 -26 1 1 1
    153  11   0 -26 1 1 1
    154  12   0 -26 1 1 1
    155  13   0 -26 1 1 1
    156  14   0 -26 1 1 1
    157  15   0 -26 1 1 1
    158  16   0 -26 1 1 1
    159  17   0 -26 1 1 1
    160  18   0 -26 1 1 1
    161 -19   0 -25 1 1 1
    162 -18   0 -25 1 1 1
    163 -17   0 -25 1 1 1
    164 -16   0 -25 1 1 1
    165 -15   0 -25 1 1 1
    166 -14   0 -25 1 1 1
    167 -13   0 -25 1 1 1
    168 -12   0 -25 1 1 1
    169 -11   0 -25 1 1 1
    170 -10   0 -25 1 1 1
    171  -9   0 -25 1 1 1
    172  -8   0 -25 1 1 1
    173  -7   0 -25 1 1 1
    174  -6   0 -25 1 1 1
    175  -5   0 -25 1 1 1
    176  -4   0 -25 1 1 1
    177  -3   0 -25 1 1 1
    178  -2   0 -25 1 1 1
    179  -1   0 -25 1 1 1
    180   0   0 -25 1 1 1
    181   1   0 -25 1 1 1
    182   2   0 -25 1 1 1
    183   3   0 -25 1 1 1
    184   4   0 -25 1 1 1
    185   5   0 -25 1 1 1
    186   6   0 -25 1 1 1
    187   7   0 -25 1 1 1
    188   8   0 -25 1 1 1
    189   9   0 -25 1 1 1
    190  10   0 -25 1 1 1
    191  11   0 -25 1 1 1
    192  12   0 -25 1 1 1
    193  13   0 -25 1 1 1
    194  14   0 -25 1 1 1
    195  15   0 -25 1 1 1
    196  16   0 -25 1 1 1
    197  17   0 -25 1 1 1
    198  18   0 -25 1 1 1
    199  19   0 -25 1 1 1
    200  20   0 -25 1 1 1
    201 -20   0 -24 1 1 1
    202 -19   0 -24 1 1 1
    203 -18   0 -24 1 1 1
    204 -17   0 -24 1 1 1
    205 -16   0 -24 1 1 1
    206 -15   0 -24 1 1 1
    207 -14   0 -24 1 1 1
    208 -13   0 -24 1 1 1
    209 -12   0 -24 1 1 1
    210 -11   0 -24 1 1 1
    211 -10   0 -24 1 1 1
    212  -9   0 -24 1 1 1
    213  -8   0 -24 1 1 1
    214  -7   0 -24 1 1 1
    215  -6   0 -24 1 1 1
    216  -5   0 -24 1 1 1
    217  -4   0 -24 1 1 1
    218  -3   0 -24 1 1 1
    219  -2   0 -24 1 1 1
    220  -1   0 -24 1 1 1
    221   0   0 -24 1 1 1
    222   1   0 -24 1 1 1
    223   2   0 -24 1 1 1
    224   3   0 -24 1 1 1
    225   4   0 -24 1 1 1
    226   5   0 -24 1 1 1
    227   6   0 -24 1 1 1
    228   7   0 -24 1 1 1
    229   8   0 -24 1 1 1
    230   9   0 -24 1 1 1
    231  10   0 -24 1 1 1
    232  11   0 -24 1 1 1
    233  12   0 -24 1 1 1
    234  13   0 -24 1 1 1
    235  14   0 -24 1 1 1
    236  15   0 -24 1 1 1
    237  16   0 -24 1 1 1
    238  17   0 -24 1 1 1
    239  18   0 -24 1 1 1
    240  19   0 -24 1 1 1
    241  20   0 -24 1 1 1
    242  21   0 -24 1 1 1
    243 -21   0 -23 1 1 1
    244 -20   0 -23 1 1 1
    245 -19   0 -23 1 1 1
    246 -18   0 -23 1 1 1
    247 -17   0 -23 1 1 1
    248 -16   0 -23 1 1 1
    249 -15   0 -23 1 1 1
    250 -14   0 -23 1 1 1
    251 -13   0 -23 1 1 1
    252 -12   0 -23 1 1 1
    253 -11   0 -23 1 1 1
    254 -10   0 -23 1 1 1
    255  -9   0 -23 1 1 1
    256  -8   0 -23 1 1 1
    257  -7   0 -23 1 1 1
    258  -6   0 -23 1 1 1
    259  -5   0 -23 1 1 1
    260  -4   0 -23 1 1 1
    261  -3   0 -23 1 1 1
    262  -2   0 -23 1 1 1
    263  -1   0 -23 1 1 1
    264   0   0 -23 1 1 1
    265   1   0 -23 1 1 1
    266   2   0 -23 1 1 1
    267   3   0 -23 1 1 1
    268   4   0 -23 1 1 1
    269   5   0 -23 1 1 1
    270   6   0 -23 1 1 1
    271   7   0 -23 1 1 1
    272   8   0 -23 1 1 1
    273   9   0 -23 1 1 1
    274  10   0 -23 1 1 1
    275  11   0 -23 1 1 1
    276  12   0 -23 1 1 1
    277  13   0 -23 1 1 1
    278  14   0 -23 1 1 1
    279  15   0 -23 1 1 1
    280  16   0 -23 1 1 1
    281  17   0 -23 1 1 1
    282  18   0 -23 1 1 1
    283  19   0 -23 1 1 1
    284  20   0 -23 1 1 1
    285  21   0 -23 1 1 1
    286  22   0 -23 1 1 1
    287 -22   0 -22 1 1 1
    288 -21   0 -22 1 1 1
    289 -20   0 -22 1 1 1
    290 -19   0 -22 1 1 1
    291 -18   0 -22 1 1 1
    292 -17   0 -22 1 1 1
    293 -16   0 -22 1 1 1
    294 -15   0 -22 1 1 1
    295 -14   0 -22 1 1 1
    296 -13   0 -22 1 1 1
    297 -12   0 -22 1 1 1
    298 -11   0 -22 1 1 1
    299 -10   0 -22 1 1 1
    300  -9   0 -22 1 1 1
    301  -8   0 -22 1 1 1
    302  -7   0 -22 1 1 1
    303  -6   0 -22 1 1 1
    304  -5   0 -22 1 1 1
    305  -4   0 -22 1 1 1
    306  -3   0 -22 1 1 1
    307  -2   0 -22 1 1 1
    308  -1   0 -22 1 1 1
    309   0   0 -22 1 1 1
    310   1   0 -22 1 1 1
    311   2   0 -22 1 1 1
    312   3   0 -22 1 1 1
    313   4   0 -22 1 1 1
    314   5   0 -22 1 1 1
    315   6   0 -22 1 1 1
    316   7   0 -22 1 1 1
    317   8   0 -22 1 1 1
    318   9   0 -22 1 1 1
    319  10   0 -22 1 1 1
    320  11   0 -22 1 1 1
    321  12   0 -22 1 1 1
    322  13   0 -22 1 1 1
    323  14   0 -22 1 1 1
    324  15   0 -22 1 1 1
    325  16   0 -22 1 1 1
    326  17   0 -22 1 1 1
    327  18   0 -22 1 1 1
    328  19   0 -22 1 1 1
    329  20   0 -22 1 1 1
    330  21   0 -22 1 1 1
    331  22   0 -22 1 1 1
    332  23   0 -22 1 1 1
    333 -23   0 -21 1 1 1
    334 -22   0 -21 1 1 1
    335 -21   0 -21 1 1 1
    336 -20   0 -21 1 1 1
    337 -19   0 -21 1 1 1
    338 -18   0 -21 1 1 1
    339 -17   0 -21 1 1 1
    340 -16   0 -21 1 1 1
    341 -15   0 -21 1 1 1
    342 -14   0 -21 1 1 1
    343 -13   0 -21 1 1 1
    344 -12   0 -21 1 1 1
    345 -11   0 -21 1 1 1
    346 -10   0 -21 1 1 1
    347  -9   0 -21 1 1 1
    348  -8   0 -21 1 1 1
    349  -7   0 -21 1 1 1
    350  -6   0 -21 1 1 1
    351  -5   0 -21 1 1 1
    352  -4   0 -21 1 1 1
    353  -3   0 -21 1 1 1
    354  -2   0 -21 1 1 1
    355  -1   0 -21 1 1 1
    356   0   0 -21 1 1 1
    357   1   0 -21 1 1 1
    358   2   0 -21 1 1 1
    359   3   0 -21 1 1 1
    360   4   0 -21 1 1 1
    361   5   0 -21 1 1 1
    362   6   0 -21 1 1 1
    363   7   0 -21 1 1 1
    364   8   0 -21 1 1 1
    365   9   0 -21 1 1 1
    366  10   0 -21 1 1 1
    367  11   0 -21 1 1 1
    368  12   0 -21 1 1 1
    369  13   0 -21 1 1 1
    370  14   0 -21 1 1 1
    371  15   0 -21 1 1 1
    372  16   0 -21 1 1 1
    373  17   0 -21 1 1 1
    374  18   0 -21 1 1 1
    375  19   0 -21 1 1 1
    376  20   0 -21 1 1 1
    377  21   0 -21 1 1 1
    378  22   0 -21 1 1 1
    379  23   0 -21 1 1 1
    380  24   0 -21 1 1 1
    381 -24   0 -20 1 1 1
    382 -23   0 -20 1 1 1
    383 -22   0 -20 1 1 1
    384 -21   0 -20 1 1 1
    385 -20   0 -20 1 1 1
    386 -19   0 -20 1 1 1
    387 -18   0 -20 1 1 1
    388 -17   0 -20 1 1 1
    389 -16   0 -20 1 1 1
    390 -15   0 -20 1 1 1
    391 -14   0 -20 1 1 1
    392 -13   0 -20 1 1 1
    393 -12   0 -20 1 1 1
    394 -11   0 -20 1 1 1
    395 -10   0 -20 1 1 1
    396  -9   0 -20 1 1 1
    397  -8   0 -20 1 1 1
    398  -7   0 -20 1 1 1
    399  -6   0 -20 1 1 1
    400  -5   0 -20 1 1 1
    401  -4   0 -20 1 1 1
    402  -3   0 -20 1 1 1
    403  -2   0 -20 1 1 1
    404  -1   0 -20 1 1 1
    405   0   0 -20 1 1 1
    406   1   0 -20 1 1 1
    407   2   0 -20 1 1 1
    408   3   0 -20 1 1 1
    409   4   0 -20 1 1 1
    410   5   0 -20 1 1 1
    411   6   0 -20 1 1 1
    412   7   0 -20 1 1 1
    413   8   0 -20 1 1 1
    414   9   0 -20 1 1 1
    415  10   0 -20 1 1 1
    416  11   0 -20 1 1 1
    417  12   0 -20 1 1 1
    418  13   0 -20 1 1 1
    419  14   0 -20 1 1 1
    420  15   0 -20 1 1 1
    421  16   0 -20 1 1 1
    422  17   0 -20 1 1 1
    423  18   0 -20 1 1 1
    424  19   0 -20 1 1 1
    425  20   0 -20 1 1 1
    426  21   0 -20 1 1 1
    427  22   0 -20 1 1 1
    428  23   0 -20 1 1 1
    429  24   0 -20 1 1 1
    430  25   0 -20 1 1 1
    431 -25   0 -19 1 1 1
    432 -24   0 -19 1 1 1
    433 -23   0 -19 1 1 1
    434 -22   0 -19 1 1 1
    435 -21   0 -19 1 1 1
    436 -20   0 -19 1 1 1
    437 -19   0 -19 1 1 1
    438 -18   0 -19 1 1 1
    439 -17   0 -19 1 1 1
    440 -16   0 -19 1 1 1
    441 -15   0 -19 1 1 1
    442 -14   0 -19 1 1 1
    443 -13   0 -19 1 1 1
    444 -12   0 -19 1 1 1
    445 -11   0 -19 1 1 1
    446 -10   0 -19 1 1 1
    447  -9   0 -19 1 1 1
    448  -8   0 -19 1 1 1
    449  -7   0 -19 1 1 1
    450  -6   0 -19 1 1 1
    451  -5   0 -19 1 1 1
    452  -4   0 -19 1 1 1
    453  -3   0 -19 1 1 1
    454  -2   0 -19 1 1 1
    455  -1   0 -19 1 1 1
    456   0   0 -19 1 1 1
    457   1   0 -19 1 1 1
    458   2   0 -19 1 1 1
    459   3   0 -19 1 1 1
    460   4   0 -19 1 1 1
    461   5   0 -19 1 1 1
    462   6   0 -19 1 1 1
    463   7   0 -19 1 1 1
    464   8   0 -19 1 1 1
    465   9   0 -19 1 1 1
    466  10   0 -19 1 1 1
    467  11   0 -19 1 1 1
    468  12   0 -19 1 1 1
    469  13   0 -19 1 1 1
    470  14   0 -19 1 1 1
    471  15   0 -19 1 1 1
    472  16   0 -19 1 1 1
    473  17   0 -19 1 1 1
    474  18   0 -19 1 1 1
    475  19   0 -19 1 1 1
    476  20   0 -19 1 1 1
    477  21   0 -19 1 1 1
    478  22   0 -19 1 1 1
    479  23   0 -19 1 1 1
    480  24   0 -19 1 1 1
    481  25   0 -19 1 1 1
    482  26   0 -19 1 1 1
    483 -25   0 -18 1 1 1
    484 -24   0 -18 1 1 1
    485 -23   0 -18 1 1 1
    486 -22   0 -18 1 1 1
    487 -21   0 -18 1 1 1
    488 -20   0 -18 1 1 1
    489 -19   0 -18 1 1 1
    490 -18   0 -18 1 1 1
    491 -17   0 -18 1 1 1
    492 -16   0 -18 1 1 1
    493 -15   0 -18 1 1 1
    494 -14   0 -18 1 1 1
    495 -13   0 -18 1 1 1
    496 -12   0 -18 1 1 1
    497 -11   0 -18 1 1 1
    498 -10   0 -18 1 1 1
    499  -9   0 -18 1 1 1
    500  -8   0 -18 1 1 1
    501  -7   0 -18 1 1 1
    502  -6   0 -18 1 1 1
    503  -5   0 -18 1 1 1
    504  -4   0 -18 1 1 1
    505  -3   0 -18 1 1 1
    506  -2   0 -18 1 1 1
    507  -1   0 -18 1 1 1
    508   0   0 -18 1 1 1
    509   1   0 -18 1 1 1
    510   2   0 -18 1 1 1
    511   3   0 -18 1 1 1
    512   4   0 -18 1 1 1
    513   5   0 -18 1 1 1
    514   6   0 -18 1 1 1
    515   7   0 -18 1 1 1
    516   8   0 -18 1 1 1
    517   9   0 -18 1 1 1
    518  10   0 -18 1 1 1
    519  11   0 -18 1 1 1
    520  12   0 -18 1 1 1
    521  13   0 -18 1 1 1
    522  14   0 -18 1 1 1
    523  15   0 -18 1 1 1
    524  16   0 -18 1 1 1
    525  17   0 -18 1 1 1
    526  18   0 -18 1 1 1
    527  19   0 -18 1 1 1
    528  20   0 -18 1 1 1
    529  21   0 -18 1 1 1
    530  22   0 -18 1 1 1
    531  23   0 -18 1 1 1
    532  24   0 -18 1 1 1
    533  25   0 -18 1 1 1
    534  26   0 -18 1 1 1
    535 -26   0 -17 1 1 1
    536 -25   0 -17 1 1 1
    537 -24   0 -17 1 1 1
    538 -23   0 -17 1 1 1
    539 -22   0 -17 1 1 1
    540 -21   0 -17 1 1 1
    541 -20   0 -17 1 1 1
    542 -19   0 -17 1 1 1
    543 -18   0 -17 1 1 1
    544 -17   0 -17 1 1 1
    545 -16   0 -17 1 1 1
    546 -15   0 -17 1 1 1
    547 -14   0 -17 1 1 1
    548 -13   0 -17 1 1 1
    549 -12   0 -17 1 1 1
    550 -11   0 -17 1 1 1
    551 -10   0 -17 1 1 1
    552  -9   0 -17 1 1 1
    553  -8   0 -17 1 1 1
    554  -7   0 -17 1 1 1
    555  -6   0 -17 1 1 1
    556  -5   0 -17 1 1 1
    557  -4   0 -17 1 1 1
    558  -3   0 -17 1 1 1
    559  -2   0 -17 1 1 1
    560  -1   0 -17 1 1 1
    561   0   0 -17 1 1 1
    562   1   0 -17 1 1 1
    563   2   0 -17 1 1 1
    564   3   0 -17 1 1 1
    565   4   0 -17 1 1 1
    566   5   0 -17 1 1 1
    567   6   0 -17 1 1 1
    568   7   0 -17 1 1 1
    569   8   0 -17 1 1 1
    570   9   0 -17 1 1 1
    571  10   0 -17 1 1 1
    572  11   0 -17 1 1 1
    573  12   0 -17 1 1 1
    574  13   0 -17 1 1 1
    575  14   0 -17 1 1 1
    576  15   0 -17 1 1 1
    577  16   0 -17 1 1 1
    578  17   0 -17 1 1 1
    579  18   0 -17 1 1 1
    580  19   0 -17 1 1 1
    581  20   0 -17 1 1 1
    582  21   0 -17 1 1 1
    583  22   0 -17 1 1 1
    584  23   0 -17 1 1 1
    585  24   0 -17 1 1 1
    586  25   0 -17 1 1 1
    587  26   0 -17 1 1 1
    588  27   0 -17 1 1 1
    589 -27   0 -16 1 1 1
    590 -26   0 -16 1 1 1
    591 -25   0 -16 1 1 1
    592 -24   0 -16 1 1 1
    593 -23   0 -16 1 1 1
    594 -22   0 -16 1 1 1
    595 -21   0 -16 1 1 1
    596 -20   0 -16 1 1 1
    597 -19   0 -16 1 1 1
