 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 10.0000  0.0000 16.0000 16.0000
      3200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   0  -5  -2 1 1 1
      2   1  -5  -2 1 1 1
      3   2  -5  -2 1 1 1
      4   3  -5  -2 1 1 1
      5   4  -5  -2 1 1 1
      6   5  -5  -2 1 1 1
      7   6  -5  -2 1 1 1
      8   7  -5  -2 1 1 1
      9   0  -5  -1 1 1 1
     10   1  -5  -1 1 1 1
     11   2  -5  -1 1 1 1
     12   3  -5  -1 1 1 1
     13   4  -5  -1 1 1 1
     14   5  -5  -1 1 1 1
     15   6  -5  -1 1 1 1
     16   7  -5  -1 1 1 1
     17   0  -5   0 1 1 1
     18   1  -5   0 1 1 1
     19   2  -5   0 1 1 1
     20   3  -5   0 1 1 1
     21   4  -5   0 1 1 1
     22   5  -5   0 1 1 1
     23   6  -5   0 1 1 1
     24   7  -5   0 1 1 1
     25   0  -5   1 1 1 1
     26   1  -5   1 1 1 1
     27   2  -5   1 1 1 1
     28   3  -5   1 1 1 1
     29   4  -5   1 1 1 1
     30   5  -5   1 1 1 1
     31   6  -5   1 1 1 1
     32   7  -5   1 1 1 1
     33   0  -4  -4 1 1 1
     34   1  -4  -4 1 1 1
     35   2  -4  -4 1 1 1
     36   3  -4  -4 1 1 1
     37   4  -4  -4 1 1 1
     38   5  -4  -4 1 1 1
     39   6  -4  -4 1 1 1
     40   7  -4  -4 1 1 1
     41   0  -4  -3 1 1 1
     42   1  -4  -3 1 1 1
     43   2  -4  -3 1 1 1
     44   3  -4  -3 1 1 1
     45   4  -4  -3 1 1 1
     46   5  -4  -3 1 1 1
     47   6  -4  -3 1 1 1
     48   7  -4  -3 1 1 1
     49   0  -4  -2 1 1 1
     50   1  -4  -2 1 1 1
     51   2  -4  -2 1 1 1
     52   3  -4  -2 1 1 1
     53   4  -4  -2 1 1 1
     54   5  -4  -2 1 1 1
     55   6  -4  -2 1 1 1
     56   7  -4  -2 1 1 1
     57   0  -4  -1 1 1 1
     58   1  -4  -1 1 1 1
     59   2  -4  -1 1 1 1
     60   3  -4  -1 1 1 1
     61   4  -4  -1 1 1 1
     62   5  -4  -1 1 1 1
     63   6  -4  -1 1 1 1
     64   7  -4  -1 1 1 1
     65   0  -4   0 1 1 1
     66   1  -4   0 1 1 1
     67   2  -4   0 1 1 1
     68   3  -4   0 1 1 1
     69   4  -4   0 1 1 1
     70   5  -4   0 1 1 1
     71   6  -4   0 1 1 1
     72   7  -4   0 1 1 1
     73   0  -4   1 1 1 1
     74   1  -4   1 1 1 1
     75   2  -4   1 1 1 1
     76   3  -4   1 1 1 1
     77   4  -4   1 1 1 1
     78   5  -4   1 1 1 1
     79   6  -4   1 1 1 1
     80   7  -4   1 1 1 1
     81   0  -4   2 1 1 1
     82   1  -4   2 1 1 1
     83   2  -4   2 1 1 1
     84   3  -4   2 1 1 1
     85   4  -4   2 1 1 1
     86   5  -4   2 1 1 1
     87   6  -4   2 1 1 1
     88   7  -4   2 1 1 1
     89   0  -4   3 1 1 1
     90   1  -4   3 1 1 1
     91   2  -4   3 1 1 1
     92   3  -4   3 1 1 1
     93   4  -4   3 1 1 1
     94   5  -4   3 1 1 1
     95   6  -4   3 1 1 1
     96   7  -4   3 1 1 1
     97   0  -3  -4 1 1 1
     98   1  -3  -4 1 1 1
     99   2  -3  -4 1 1 1
    100   3  -3  -4 1 1 1
    101   4  -3  -4 1 1 1
    102   5  -3  -4 1 1 1
    103   6  -3  -4 1 1 1
    104   7  -3  -4 1 1 1
    105   0  -3  -3 1 1 1
    106   1  -3  -3 1 1 1
    107   2  -3  -3 1 1 1
    108   3  -3  -3 1 1 1
    109   4  -3  -3 1 1 1
    110   5  -3  -3 1 1 1
    111   6  -3  -3 1 1 1
    112   7  -3  -3 1 1 1
    113   0  -3  -2 1 1 1
    114   1  -3  -2 1 1 1
    115   2  -3  -2 1 1 1
    116   3  -3  -2 1 1 1
    117   4  -3  -2 1 1 1
    118   5  -3  -2 1 1 1
    119   6  -3  -2 1 1 1
    120   7  -3  -2 1 1 1
    121   0  -3  -1 1 1 1
    122   1  -3  -1 1 1 1
    123   2  -3  -1 1 1 1
    124   3  -3  -1 1 1 1
    125   4  -3  -1 1 1 1
    126   5  -3  -1 1 1 1
    127   6  -3  -1 1 1 1
    128   7  -3  -1 1 1 1
    129   0  -3   0 1 1 1
    130   1  -3   0 1 1 1
    131   2  -3   0 1 1 1
    132   3  -3   0 1 1 1
    133   4  -3   0 1 1 1
    134   5  -3   0 1 1 1
    135   6  -3   0 1 1 1
    136   7  -3   0 1 1 1
    137   0  -3   1 1 1 1
    138   1  -3   1 1 1 1
    139   2  -3   1 1 1 1
    140   3  -3   1 1 1 1
    141   4  -3   1 1 1 1
    142   5  -3   1 1 1 1
    143   6  -3   1 1 1 1
    144   7  -3   1 1 1 1
    145   0  -3   2 1 1 1
    146   1  -3   2 1 1 1
    147   2  -3   2 1 1 1
    148   3  -3   2 1 1 1
    149   4  -3   2 1 1 1
    150   5  -3   2 1 1 1
    151   6  -3   2 1 1 1
    152   7  -3   2 1 1 1
    153   0  -3   3 1 1 1
    154   1  -3   3 1 1 1
    155   2  -3   3 1 1 1
    156   3  -3   3 1 1 1
    157   4  -3   3 1 1 1
    158   5  -3   3 1 1 1
    159   6  -3   3 1 1 1
    160   7  -3   3 1 1 1
    161   0  -2  -5 1 1 1
    162   1  -2  -5 1 1 1
    163   2  -2  -5 1 1 1
    164   3  -2  -5 1 1 1
    165   4  -2  -5 1 1 1
    166   5  -2  -5 1 1 1
    167   6  -2  -5 1 1 1
    168   7  -2  -5 1 1 1
    169   0  -2  -4 1 1 1
    170   1  -2  -4 1 1 1
    171   2  -2  -4 1 1 1
    172   3  -2  -4 1 1 1
    173   4  -2  -4 1 1 1
    174   5  -2  -4 1 1 1
    175   6  -2  -4 1 1 1
    176   7  -2  -4 1 1 1
    177   0  -2  -3 1 1 1
    178   1  -2  -3 1 1 1
    179   2  -2  -3 1 1 1
    180   3  -2  -3 1 1 1
    181   4  -2  -3 1 1 1
    182   5  -2  -3 1 1 1
    183   6  -2  -3 1 1 1
    184   7  -2  -3 1 1 1
    185   0  -2  -2 1 1 1
    186   1  -2  -2 1 1 1
    187   2  -2  -2 1 1 1
    188   3  -2  -2 1 1 1
    189   4  -2  -2 1 1 1
    190   5  -2  -2 1 1 1
    191   6  -2  -2 1 1 1
    192   7  -2  -2 1 1 1
    193   0  -2  -1 1 1 1
    194   1  -2  -1 1 1 1
    195   2  -2  -1 1 1 1
    196   3  -2  -1 1 1 1
    197   4  -2  -1 1 1 1
    198   5  -2  -1 1 1 1
    199   6  -2  -1 1 1 1
    200   7  -2  -1 1 1 1
    201   0  -2   0 1 1 1
    202   1  -2   0 1 1 1
    203   2  -2   0 1 1 1
    204   3  -2   0 1 1 1
