 >TARREC   rectangular prism; AX,AY,AZ= 32.0000 64.0000 64.0000
    131072 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -32.50000 -32.50000 -32.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1   1   1 1 1 1
      2   2   1   1 1 1 1
      3   3   1   1 1 1 1
      4   4   1   1 1 1 1
      5   5   1   1 1 1 1
      6   6   1   1 1 1 1
      7   7   1   1 1 1 1
      8   8   1   1 1 1 1
      9   9   1   1 1 1 1
     10  10   1   1 1 1 1
     11  11   1   1 1 1 1
     12  12   1   1 1 1 1
     13  13   1   1 1 1 1
     14  14   1   1 1 1 1
     15  15   1   1 1 1 1
     16  16   1   1 1 1 1
     17  17   1   1 1 1 1
     18  18   1   1 1 1 1
     19  19   1   1 1 1 1
     20  20   1   1 1 1 1
     21  21   1   1 1 1 1
     22  22   1   1 1 1 1
     23  23   1   1 1 1 1
     24  24   1   1 1 1 1
     25  25   1   1 1 1 1
     26  26   1   1 1 1 1
     27  27   1   1 1 1 1
     28  28   1   1 1 1 1
     29  29   1   1 1 1 1
     30  30   1   1 1 1 1
     31  31   1   1 1 1 1
     32  32   1   1 1 1 1
     33   1   2   1 1 1 1
     34   2   2   1 1 1 1
     35   3   2   1 1 1 1
     36   4   2   1 1 1 1
     37   5   2   1 1 1 1
     38   6   2   1 1 1 1
     39   7   2   1 1 1 1
     40   8   2   1 1 1 1
     41   9   2   1 1 1 1
     42  10   2   1 1 1 1
     43  11   2   1 1 1 1
     44  12   2   1 1 1 1
     45  13   2   1 1 1 1
     46  14   2   1 1 1 1
     47  15   2   1 1 1 1
     48  16   2   1 1 1 1
     49  17   2   1 1 1 1
     50  18   2   1 1 1 1
     51  19   2   1 1 1 1
     52  20   2   1 1 1 1
     53  21   2   1 1 1 1
     54  22   2   1 1 1 1
     55  23   2   1 1 1 1
     56  24   2   1 1 1 1
     57  25   2   1 1 1 1
     58  26   2   1 1 1 1
     59  27   2   1 1 1 1
     60  28   2   1 1 1 1
     61  29   2   1 1 1 1
     62  30   2   1 1 1 1
     63  31   2   1 1 1 1
     64  32   2   1 1 1 1
     65   1   3   1 1 1 1
     66   2   3   1 1 1 1
     67   3   3   1 1 1 1
     68   4   3   1 1 1 1
     69   5   3   1 1 1 1
     70   6   3   1 1 1 1
     71   7   3   1 1 1 1
     72   8   3   1 1 1 1
     73   9   3   1 1 1 1
     74  10   3   1 1 1 1
     75  11   3   1 1 1 1
     76  12   3   1 1 1 1
     77  13   3   1 1 1 1
     78  14   3   1 1 1 1
     79  15   3   1 1 1 1
     80  16   3   1 1 1 1
     81  17   3   1 1 1 1
     82  18   3   1 1 1 1
     83  19   3   1 1 1 1
     84  20   3   1 1 1 1
     85  21   3   1 1 1 1
     86  22   3   1 1 1 1
     87  23   3   1 1 1 1
     88  24   3   1 1 1 1
     89  25   3   1 1 1 1
     90  26   3   1 1 1 1
     91  27   3   1 1 1 1
     92  28   3   1 1 1 1
     93  29   3   1 1 1 1
     94  30   3   1 1 1 1
     95  31   3   1 1 1 1
     96  32   3   1 1 1 1
     97   1   4   1 1 1 1
     98   2   4   1 1 1 1
     99   3   4   1 1 1 1
    100   4   4   1 1 1 1
    101   5   4   1 1 1 1
    102   6   4   1 1 1 1
    103   7   4   1 1 1 1
    104   8   4   1 1 1 1
    105   9   4   1 1 1 1
    106  10   4   1 1 1 1
    107  11   4   1 1 1 1
    108  12   4   1 1 1 1
    109  13   4   1 1 1 1
    110  14   4   1 1 1 1
    111  15   4   1 1 1 1
    112  16   4   1 1 1 1
    113  17   4   1 1 1 1
    114  18   4   1 1 1 1
    115  19   4   1 1 1 1
    116  20   4   1 1 1 1
    117  21   4   1 1 1 1
    118  22   4   1 1 1 1
    119  23   4   1 1 1 1
    120  24   4   1 1 1 1
    121  25   4   1 1 1 1
    122  26   4   1 1 1 1
    123  27   4   1 1 1 1
    124  28   4   1 1 1 1
    125  29   4   1 1 1 1
    126  30   4   1 1 1 1
    127  31   4   1 1 1 1
    128  32   4   1 1 1 1
    129   1   5   1 1 1 1
    130   2   5   1 1 1 1
    131   3   5   1 1 1 1
    132   4   5   1 1 1 1
    133   5   5   1 1 1 1
    134   6   5   1 1 1 1
    135   7   5   1 1 1 1
    136   8   5   1 1 1 1
    137   9   5   1 1 1 1
    138  10   5   1 1 1 1
    139  11   5   1 1 1 1
    140  12   5   1 1 1 1
    141  13   5   1 1 1 1
    142  14   5   1 1 1 1
    143  15   5   1 1 1 1
    144  16   5   1 1 1 1
    145  17   5   1 1 1 1
    146  18   5   1 1 1 1
    147  19   5   1 1 1 1
    148  20   5   1 1 1 1
    149  21   5   1 1 1 1
    150  22   5   1 1 1 1
    151  23   5   1 1 1 1
    152  24   5   1 1 1 1
    153  25   5   1 1 1 1
    154  26   5   1 1 1 1
    155  27   5   1 1 1 1
    156  28   5   1 1 1 1
    157  29   5   1 1 1 1
    158  30   5   1 1 1 1
    159  31   5   1 1 1 1
    160  32   5   1 1 1 1
    161   1   6   1 1 1 1
    162   2   6   1 1 1 1
    163   3   6   1 1 1 1
    164   4   6   1 1 1 1
    165   5   6   1 1 1 1
    166   6   6   1 1 1 1
    167   7   6   1 1 1 1
    168   8   6   1 1 1 1
    169   9   6   1 1 1 1
    170  10   6   1 1 1 1
    171  11   6   1 1 1 1
    172  12   6   1 1 1 1
    173  13   6   1 1 1 1
    174  14   6   1 1 1 1
    175  15   6   1 1 1 1
    176  16   6   1 1 1 1
    177  17   6   1 1 1 1
    178  18   6   1 1 1 1
    179  19   6   1 1 1 1
    180  20   6   1 1 1 1
    181  21   6   1 1 1 1
    182  22   6   1 1 1 1
    183  23   6   1 1 1 1
    184  24   6   1 1 1 1
    185  25   6   1 1 1 1
    186  26   6   1 1 1 1
    187  27   6   1 1 1 1
    188  28   6   1 1 1 1
    189  29   6   1 1 1 1
    190  30   6   1 1 1 1
    191  31   6   1 1 1 1
    192  32   6   1 1 1 1
    193   1   7   1 1 1 1
    194   2   7   1 1 1 1
    195   3   7   1 1 1 1
    196   4   7   1 1 1 1
    197   5   7   1 1 1 1
    198   6   7   1 1 1 1
    199   7   7   1 1 1 1
    200   8   7   1 1 1 1
    201   9   7   1 1 1 1
    202  10   7   1 1 1 1
    203  11   7   1 1 1 1
    204  12   7   1 1 1 1
    205  13   7   1 1 1 1
    206  14   7   1 1 1 1
    207  15   7   1 1 1 1
    208  16   7   1 1 1 1
    209  17   7   1 1 1 1
    210  18   7   1 1 1 1
    211  19   7   1 1 1 1
    212  20   7   1 1 1 1
    213  21   7   1 1 1 1
    214  22   7   1 1 1 1
    215  23   7   1 1 1 1
    216  24   7   1 1 1 1
    217  25   7   1 1 1 1
    218  26   7   1 1 1 1
    219  27   7   1 1 1 1
    220  28   7   1 1 1 1
    221  29   7   1 1 1 1
    222  30   7   1 1 1 1
    223  31   7   1 1 1 1
    224  32   7   1 1 1 1
    225   1   8   1 1 1 1
    226   2   8   1 1 1 1
    227   3   8   1 1 1 1
    228   4   8   1 1 1 1
    229   5   8   1 1 1 1
    230   6   8   1 1 1 1
    231   7   8   1 1 1 1
    232   8   8   1 1 1 1
    233   9   8   1 1 1 1
    234  10   8   1 1 1 1
    235  11   8   1 1 1 1
    236  12   8   1 1 1 1
    237  13   8   1 1 1 1
    238  14   8   1 1 1 1
    239  15   8   1 1 1 1
    240  16   8   1 1 1 1
    241  17   8   1 1 1 1
    242  18   8   1 1 1 1
    243  19   8   1 1 1 1
    244  20   8   1 1 1 1
    245  21   8   1 1 1 1
    246  22   8   1 1 1 1
    247  23   8   1 1 1 1
    248  24   8   1 1 1 1
    249  25   8   1 1 1 1
    250  26   8   1 1 1 1
    251  27   8   1 1 1 1
    252  28   8   1 1 1 1
    253  29   8   1 1 1 1
    254  30   8   1 1 1 1
    255  31   8   1 1 1 1
    256  32   8   1 1 1 1
    257   1   9   1 1 1 1
    258   2   9   1 1 1 1
    259   3   9   1 1 1 1
    260   4   9   1 1 1 1
    261   5   9   1 1 1 1
    262   6   9   1 1 1 1
    263   7   9   1 1 1 1
    264   8   9   1 1 1 1
    265   9   9   1 1 1 1
    266  10   9   1 1 1 1
    267  11   9   1 1 1 1
    268  12   9   1 1 1 1
    269  13   9   1 1 1 1
    270  14   9   1 1 1 1
    271  15   9   1 1 1 1
    272  16   9   1 1 1 1
    273  17   9   1 1 1 1
    274  18   9   1 1 1 1
    275  19   9   1 1 1 1
    276  20   9   1 1 1 1
    277  21   9   1 1 1 1
    278  22   9   1 1 1 1
    279  23   9   1 1 1 1
    280  24   9   1 1 1 1
    281  25   9   1 1 1 1
    282  26   9   1 1 1 1
    283  27   9   1 1 1 1
    284  28   9   1 1 1 1
    285  29   9   1 1 1 1
    286  30   9   1 1 1 1
    287  31   9   1 1 1 1
    288  32   9   1 1 1 1
    289   1  10   1 1 1 1
    290   2  10   1 1 1 1
    291   3  10   1 1 1 1
    292   4  10   1 1 1 1
    293   5  10   1 1 1 1
    294   6  10   1 1 1 1
    295   7  10   1 1 1 1
    296   8  10   1 1 1 1
    297   9  10   1 1 1 1
    298  10  10   1 1 1 1
    299  11  10   1 1 1 1
    300  12  10   1 1 1 1
    301  13  10   1 1 1 1
    302  14  10   1 1 1 1
    303  15  10   1 1 1 1
    304  16  10   1 1 1 1
    305  17  10   1 1 1 1
    306  18  10   1 1 1 1
    307  19  10   1 1 1 1
    308  20  10   1 1 1 1
    309  21  10   1 1 1 1
    310  22  10   1 1 1 1
    311  23  10   1 1 1 1
    312  24  10   1 1 1 1
    313  25  10   1 1 1 1
    314  26  10   1 1 1 1
    315  27  10   1 1 1 1
    316  28  10   1 1 1 1
    317  29  10   1 1 1 1
    318  30  10   1 1 1 1
    319  31  10   1 1 1 1
    320  32  10   1 1 1 1
    321   1  11   1 1 1 1
    322   2  11   1 1 1 1
    323   3  11   1 1 1 1
    324   4  11   1 1 1 1
    325   5  11   1 1 1 1
    326   6  11   1 1 1 1
    327   7  11   1 1 1 1
    328   8  11   1 1 1 1
    329   9  11   1 1 1 1
    330  10  11   1 1 1 1
    331  11  11   1 1 1 1
    332  12  11   1 1 1 1
    333  13  11   1 1 1 1
    334  14  11   1 1 1 1
    335  15  11   1 1 1 1
    336  16  11   1 1 1 1
    337  17  11   1 1 1 1
    338  18  11   1 1 1 1
    339  19  11   1 1 1 1
    340  20  11   1 1 1 1
    341  21  11   1 1 1 1
    342  22  11   1 1 1 1
    343  23  11   1 1 1 1
    344  24  11   1 1 1 1
    345  25  11   1 1 1 1
    346  26  11   1 1 1 1
    347  27  11   1 1 1 1
    348  28  11   1 1 1 1
    349  29  11   1 1 1 1
    350  30  11   1 1 1 1
    351  31  11   1 1 1 1
    352  32  11   1 1 1 1
    353   1  12   1 1 1 1
    354   2  12   1 1 1 1
    355   3  12   1 1 1 1
    356   4  12   1 1 1 1
