 >TARNAS multisphere target composed of  16 spheres, DIAMX= 48.0000
     37499  0.0000  0.0000  0.0000 = NAT, alpha_1-3
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -8.10787  10.57563   2.32370 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1  14 -18 -32 1 1 1
      2  15 -18 -32 1 1 1
      3  16 -18 -32 1 1 1
      4  13 -17 -32 1 1 1
      5  14 -17 -32 1 1 1
      6  15 -17 -32 1 1 1
      7  16 -17 -32 1 1 1
      8  13 -16 -32 1 1 1
      9  14 -16 -32 1 1 1
     10  15 -16 -32 1 1 1
     11  16 -16 -32 1 1 1
     12  14 -15 -32 1 1 1
     13  15 -15 -32 1 1 1
     14  16 -15 -32 1 1 1
     15  13 -20 -31 1 1 1
     16  14 -20 -31 1 1 1
     17  15 -20 -31 1 1 1
     18  16 -20 -31 1 1 1
     19  17 -20 -31 1 1 1
     20  12 -19 -31 1 1 1
     21  13 -19 -31 1 1 1
     22  14 -19 -31 1 1 1
     23  15 -19 -31 1 1 1
     24  16 -19 -31 1 1 1
     25  17 -19 -31 1 1 1
     26  18 -19 -31 1 1 1
     27  11 -18 -31 1 1 1
     28  12 -18 -31 1 1 1
     29  13 -18 -31 1 1 1
     30  14 -18 -31 1 1 1
     31  15 -18 -31 1 1 1
     32  16 -18 -31 1 1 1
     33  17 -18 -31 1 1 1
     34  18 -18 -31 1 1 1
     35  19 -18 -31 1 1 1
     36  11 -17 -31 1 1 1
     37  12 -17 -31 1 1 1
     38  13 -17 -31 1 1 1
     39  14 -17 -31 1 1 1
     40  15 -17 -31 1 1 1
     41  16 -17 -31 1 1 1
     42  17 -17 -31 1 1 1
     43  18 -17 -31 1 1 1
     44  19 -17 -31 1 1 1
     45  11 -16 -31 1 1 1
     46  12 -16 -31 1 1 1
     47  13 -16 -31 1 1 1
     48  14 -16 -31 1 1 1
     49  15 -16 -31 1 1 1
     50  16 -16 -31 1 1 1
     51  17 -16 -31 1 1 1
     52  18 -16 -31 1 1 1
     53  19 -16 -31 1 1 1
     54  11 -15 -31 1 1 1
     55  12 -15 -31 1 1 1
     56  13 -15 -31 1 1 1
     57  14 -15 -31 1 1 1
     58  15 -15 -31 1 1 1
     59  16 -15 -31 1 1 1
     60  17 -15 -31 1 1 1
     61  18 -15 -31 1 1 1
     62  12 -14 -31 1 1 1
     63  13 -14 -31 1 1 1
     64  14 -14 -31 1 1 1
     65  15 -14 -31 1 1 1
     66  16 -14 -31 1 1 1
     67  17 -14 -31 1 1 1
     68  18 -14 -31 1 1 1
     69  13 -13 -31 1 1 1
     70  14 -13 -31 1 1 1
     71  15 -13 -31 1 1 1
     72  16 -13 -31 1 1 1
     73  17 -13 -31 1 1 1
     74  14 -22 -30 1 1 1
     75  15 -22 -30 1 1 1
     76  16 -22 -30 1 1 1
     77  12 -21 -30 1 1 1
     78  13 -21 -30 1 1 1
     79  14 -21 -30 1 1 1
     80  15 -21 -30 1 1 1
     81  16 -21 -30 1 1 1
     82  17 -21 -30 1 1 1
     83  18 -21 -30 1 1 1
     84  11 -20 -30 1 1 1
     85  12 -20 -30 1 1 1
     86  13 -20 -30 1 1 1
     87  14 -20 -30 1 1 1
     88  15 -20 -30 1 1 1
     89  16 -20 -30 1 1 1
     90  17 -20 -30 1 1 1
     91  18 -20 -30 1 1 1
     92  19 -20 -30 1 1 1
     93  10 -19 -30 1 1 1
     94  11 -19 -30 1 1 1
     95  12 -19 -30 1 1 1
     96  13 -19 -30 1 1 1
     97  14 -19 -30 1 1 1
     98  15 -19 -30 1 1 1
     99  16 -19 -30 1 1 1
    100  17 -19 -30 1 1 1
    101  18 -19 -30 1 1 1
    102  19 -19 -30 1 1 1
    103  10 -18 -30 1 1 1
    104  11 -18 -30 1 1 1
    105  12 -18 -30 1 1 1
    106  13 -18 -30 1 1 1
    107  14 -18 -30 1 1 1
    108  15 -18 -30 1 1 1
    109  16 -18 -30 1 1 1
    110  17 -18 -30 1 1 1
    111  18 -18 -30 1 1 1
    112  19 -18 -30 1 1 1
    113  20 -18 -30 1 1 1
    114  10 -17 -30 1 1 1
    115  11 -17 -30 1 1 1
    116  12 -17 -30 1 1 1
    117  13 -17 -30 1 1 1
    118  14 -17 -30 1 1 1
    119  15 -17 -30 1 1 1
    120  16 -17 -30 1 1 1
    121  17 -17 -30 1 1 1
    122  18 -17 -30 1 1 1
    123  19 -17 -30 1 1 1
    124  20 -17 -30 1 1 1
    125  10 -16 -30 1 1 1
    126  11 -16 -30 1 1 1
    127  12 -16 -30 1 1 1
    128  13 -16 -30 1 1 1
